course_name,course_code,course_location,course_units,course_semester,course_url,Course description,Learning objectives,Outcomes,Content details,Prerequisites,Faculty,Course discipline,Course format,Course concentration,,,,,,
ICT Business Economics and Finance,04-613,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-613.html,"This course focuses on financial fundamentals (e.g., reading and understanding financial statements, cost analysis, and budgeting) and basic concepts from economic theory in the context of the current ICT industry. Topics to be covered include market structure, regulation, strategy, negotiation, business models, working with investors, and creating business plans. The class format is to present theory as it applies to business in general and then apply it to current firms in the ICT sector. The concepts and thinking introduced in this class apply to companies in other sectors, including the non-profit sector.Learning objectivesThe class project has each student analyzing the financials and economics of a significant ICT firm, writing a paper on the firm, and presenting the results to the class. Each student will also create an original business plan for a new ICT firm in Africa and present it to the class.","The class project has each student analyzing the financials and economics of a significant ICT firm, writing a paper on the firm, and presenting the results to the class. Each student will also create an original business plan for a new ICT firm in Africa and present it to the class.","Upon completing this course, students will be able to:
Understand the market structure, regulation, strategy, negotiation, and business models.Use critical thinking skills and draw meaningful conclusions in business situations.Work with investors and create business plans.Apply the theory to current firms in the ICT sector and companies in other sectors.Relate the actual learnings to the outside world by the provided expertise and insights on various viewpoints on topics shared by the panelists’ discussion at the end of the semester.","Impact of economics and finance on information society:
Information society and the network economyBasic economic concepts: microeconomics and macroeconomicsFinancial statements and financial ratiosBudgeting and cost analysis
The enterprise:
IT and e-commerce in enterprisesMarketing and e-marketing / SEO / affiliate marketingRecommender systems in e-business/e-commerceBusiness models, SWOT and PEST analysisCapital asset pricing modelICT firm class project
Capitalization strategy and the business plan:
Loans & equity investmentsPatents, copyrights & trade secretsAttracting investors, venture capitalStartup firms challenges","None
FacultyCarine Mukamakuza",Carine Mukamakuza,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Entrepreneurship Project,04-910,Africa,24,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-910.html,"The IT Entrepreneurship Project class is an opportunity for students to build and practice skills in developing information technology ideas into innovations that create value for a selected set of customers. Working in small teams, students work on a concrete project to bridge the gap between entrepreneurial theory and practice.This highly selective course combines both independent team study and working with technical and professional mentors to apply concepts in the creation of a new information technology venture. Mentors can include faculty members as well as appropriate individuals from industry.This course will also involve collaboration with the CMU-Africa Industry Innovation Lab (IIL), corporate, and/or other organizations in the domain that will provide project support and feedback. The natural outcome of this project could be the continuation of its development in the IIL, with possible funding opportunities to create a startup at CMU-Africa.Prior to being admitted into this course, a team of a minimum of two students is required to submit a project for a new venture to be approved by CMU-Africa Entrepreneurship faculty. If approved, the team and a faculty advisor under the guidance of the course instructor will create and execute a semester-long development plan.","Professional ethicsWorking as a team memberUnderstanding all angles of a startup: people, technology, finance, and legalEngaging with potential customersIdentifying a problem, developing and assessing alternative solutionsDeveloping a work plan to implement, deploy, and assess a quality solution on time",Acquire and assess the requirements of customersMake effective trade-offs in a project to realize a product that satisfies the customers’ needsDefine roles and tasks within a team and carry out a team project effectivelyMake a project schedule and adapt it throughout the project to deal with unforeseen contingenciesApply research and observations on teamwork and professional skills to improve your own skills,"Product/service designAgile development methodology, scrum methodologyHuman-centered design: requirement collection, user interfaceMarket and competitor’s data collection and analysisSecuring strategic partners and collaboratorsSales persuasion and communication with the corporate worldProject managementCase studiesIT scaling up, IT procurement","2nd-year MSIT standingWhile there are no prerequisites, students are strongly recommended to take:04-613 ICT Business Economics and Finance04-802 Entrepreneurship Seminar",Jesse ThornburgandKwan Lee,MSIT,In person expectation,Not specified,,,,,,
Applied Smart Grid Telecoms,18-867-R4,Africa,6,Spring,https://www.africa.engineering.cmu.edu/academics/courses/18-867-R4.html,"This course examines applications of standards for communications protocols in smart grids, covering relevant standards such as IEC61850 and DNP3. Participants will complete assignments based on real-world examples that explore the implementation and limitations of smart grid telecommunications. Appropriate for communications engineers wanting to understand the power grid, and power engineers wanting to develop their applied knowledge of communications.
View the syllabus for more information.",The course is intended to help students understand the selection of appropriate protocols and physical layer options in order to serve the communications and flexibility needs of power grids. Students will also develop the ability to interpret messages in different protocols.,"After completing this course, students will be familiar with existing protocols in the smart grid, how they have been induced by the particularities of the physical layers involved, and the smart grid architecture concepts that they implement.",OSI Network LayersService levelsAccess networksDemand side managementDigital substationsIEC61850DNP3,None,Barry Rawn,ECE,In person expectation,"Energy (Kigali)
Intelligent Physical Systems (Pittsburgh)",,,,,,
Mathematical Foundations of Machine Learning,04-650,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-650.html,"This course offers a comprehensive mathematical foundation for machine learning, covering essential topics from linear algebra, calculus, probability theory, and optimization to advanced concepts including information theory, statistical inference, regularization, and kernel methods. The course aims to equip students with the necessary mathematical tools to understand, analyze, and implement various machine-learning algorithms and models at a deeper level.","In this course, students will:
Learn the foundational concepts and techniques of linear algebra, including vector and matrix operations, eigenvectors, and eigenvalues, with a focus on their application in machine learningLearn calculus concepts, such as derivatives and optimization techniques, and apply them to solve machine-learning problemsGain a comprehensive understanding of probability theory and statistics, including multivariate random variables and maximum likelihood estimation, and their role in machine learningLearn various optimization methods, including gradient descent and convex optimization, and their application in machine learningLearn information theory and its relevance to machine learning","Upon the completion of this course, students will be able to:
Use linear algebra concepts such as matrices, vectors, and eigenvalues to represent and manipulate dataStudents will be able to use calculus concepts such as differentiation and gradients to optimize machine learning modelsUse probability and statistical concepts to model and infer from dataUse optimization techniques such as gradient descent and convex optimization to optimize machine learning modelsExplain the role of information entropy for assessing model accuracy","This course includes:
Linear algebra: vectors and matrices, vector spaces, systems of linear equations, eigenvalue decomposition, singular value decomposition, least-squaresCalculus: Chain Rule and Jacobians, gradientProbability: probability axioms, Bayes rule, random variables, probability distributionsStatistics: descriptive stats, inferential stats, sampling and MCMC Methods, statistical testsOptimization: Convex functions and convex optimization problems, duality, and Lagrange MultipliersInformation theory: Entropy and Mutual Information, KL Divergence, and Cross-Entropy",None,Moise Busogi,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Research Methods in Engineering,04-701,Africa,6,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-701.html,"The ability to write compelling scientific proposals is critical to developing impactful research, whether one works in academic institutions or pursues entrepreneurial activities. The goal of this course is to learn how to organize and implement a research project from conducting a literature review and selecting a research topic to formulating suitable hypotheses and articulating an effective narrative. Beyond proposal writing, students will learn how to read scientific articles, conduct scientometric analysis, and create publication-quality visuals for their manuscripts or presentations.",Learn how to develop scientific research proposalsUse databases and resources available for conducting researchUnderstand the principles of hypothesis-driven researchUnderstand ethical considerations in using AI for proposals,"After completing this course, students should be able to:
Conduct a literature review and scientometric analysisIdentify research questions and write problem statementsUse referencing and editing software for scientific writingCreate publication-quality visuals for manuscripts and presentations",,"Students should have basic software development experience with proficiency in at least one modern programming language and modern programming concepts.
FacultyIsmaila DaboandKwan Lee","Ismaila Dabo
Kwan Lee","ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
"Deep Learning Systems: Hardware, Compilers, and Algorithms",04-801-A1,Africa,6,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-801-A1.html,"This course examines the algorithms, compilers, and processor components to efficiently train and deploy deep learning (DL) models for commercial applications. The course details advancements and adoption of DL models in industry, explains the training and deployment process, describes the essential hardware architectural features needed for today’s and future models, and details advances in DL compilers to efficiently execute algorithms across various hardware targets.","The course's primary goal is for students to gain a solid understanding of:
The design, training, and applications of DL algorithms in industryThe compiler techniques to map deep learning code to hardware targetsThe critical hardware features that accelerate DL systems","At the end of this course, the students will be ready to engage engineers in industry working across the DL system stack.","DL primitive functions, models, and commercial applicationsDesigning, debugging, and training a model; distributed trainingNumerical formats and model compressionHardware (HW) architectural features: transistors, processors, physical networksCommercial DL HW platformsDL compiler techniques and existing commercial DL compilersUsing ML to improve DL systemsChallenges and open areas of research",,Andres Rodriguez,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Market Planning for High Tech Innovation ,04-612,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-612.html,"To serve their markets, enterprises develop business plans to articulate their business strategy and operation plans to achieve their goals. Market planning is the process used to develop and manage business plans. More than any other industry, the high-tech industry routinely introduces discontinuous innovations. Market planning in high-tech markets poses its own unique problems due to the market and technological uncertainty and the competitive volatility of high-tech environments. In Africa, many IT-based innovations can be considered High-Tech innovations as they offer solutions whose functioning is beyond the reach of common knowledge and they are discontinuous/radical or disruptive innovations, requiring users to change their mode of behavior or modify products or services they rely on. Due to inappropriate business plans many high-tech innovations never make it successfully to the market. High-tech innovations require a different market planning process for their market introduction. In particular, the Technology Adoption Life-Cycle concept will be used to understand how potential buyers respond to discontinuous innovation. In this course, we will cover the market planning process used for developing a market-driven strategy and business plan for high-tech innovations. The process starts with the understanding of the marketplace that the enterprise decided to serve through market analysis, the segmentation of the marketplace based on the customers’ needs (market segmentation), the selection and prioritization of the market segments (portfolio management), and the development of objectives and strategy for each selected segment (strategic planning). Finally, the tactical actions to implement the strategy are documented in a business plan to ensure the integrated execution of all tactical elements. The course will be illustrated with real examples from the IT industry. Students will apply the concepts learned to develop a business plan for a local enterprise in collaboration with its executive team or for their own innovation.","The primary goal of this course is to provide students with a basic understanding of:
The challenges of market planning for high-tech innovationThe key steps in the development of a business plan
This course objective is not to train market planning experts. Instead, the goal is to introduce students to the market planning concepts to encourage them to further educate themselves in that area. It takes years of practical experience to become a market planning expert.
This course is focusing on market planning for IT products and services.","Upon the successful completion of this course, students should:
Understand the business value of market planning.Have a basic understanding of the key steps of the market planning process and be able to perform those steps.Have a better understanding of what it takes to know and understand a market.","The course will cover the following topics:
Marketing Management and High-Tech MarketsMarket Planning ProcessVision, Mission, Goals, and Market DefinitionMarket Assessment: Environment Analysis and Market AnalysisMarket Assessment: Competitive Analysis and Company AnalysisMarket SegmentationPortfolio ManagementStrategy: Technology Adoption Life CycleValue Proposition, Marketing Mix, and Business PlanProfit Zone",None,Michel Bezy,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Power Electronics,18-681,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-681.html,"This course is aimed at developing Power Electronics expertise in master’s level students to develop the knowledge and skills necessary for the formation of a power electronics engineer contributing to the formation of a professional engineer. Considerations of static and dynamic characteristics of power semiconductor devices including thermal management including the particular issues pertinent to high voltage applications are followed by the analysis and design of principal types of power converters. Key applications are also considered so that the course provides broad knowledge and skills in the field of power electronics in wide-ranging applications. The assessment is based on assignments and examinations. This course is designed to appeal to MSECE students. However, this course is also suitable for MSIT students who wish to broaden their horizons into power applications. It is worth noting that power electronic applications require engineers who have experience and skills in embedded systems, software engineering, digital control, and signal processing among others.

View the syllabus for more information.Learning objectives
The broad aim of the course is to prepare the student to perform as a competent power electronic engineer in a broad range of application areas such as residential, industrial, and electric utilities. This broad aim is achieved through the following major objectives:
To obtain a complete understanding of the static and dynamic characteristics of commercially available and developing power semiconductor devices and be able to use the devices in a variety of power electronic converters including electrical and thermal design.To develop the knowledge and skills required to analyze and design power electronic converters. This includes analytical, simulation, and experimental skills.To fully understand the effect of the connection of power electronic converters to the electricity supply system and to develop skills to analyze and mitigate power quality issues.To appreciate the requirement of energy storage and learn about energy storage systems.
OutcomesBy the end of this course, the student will be able to:
Explain static and dynamic characteristics of power semiconductor devicesUse the information provided in datasheets to carry out design calculationsPerform thermal design of power semiconductor devicesExplain the capabilities and limitations of power semiconductor devices and use them in a variety of power electronic circuits.Analyze and design power electronic convertersAnalyze waveform distortion arising from power electronic converters and develop mitigation methodsInvestigate a power electronic system by simulation and experimentationCommunicate the findings of an investigation of a power electronic system in written form and orally with multimedia",[],[],"Static and Dynamic Characteristics of Power Semiconductor DevicesNaturally Commutated Power Converters: AC-DC, DC-ACSelf-commutated converters: AC-DC, DC-AC, DC-DC, ACPower quality issues associated with the connection of power converters to the electricity Supply SystemsHarmonics, Voltage Sag and Swell, Light FlickerHarmonic FiltersEnergy StorageApplications",None,Sarath Tennakoon,ECE,In person expectation,Energy systems,,,,,,
ICT Entrepreneurship Seminar,04-603,Africa,6,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-603.html,"In this course, we define an entrepreneur as someone engaged in the development of a new product (and perhaps, but not necessarily, also a new venture) under conditions of extreme uncertainty. Entrepreneurship is a key part of an economy's search for new solutions that increase customer value. Why is it a search? Because, when the conditions surrounding a contemplated new product are uncertain, the answers to key questions are not known apriori. What features are actually needed? Does the product in fact solve the problem we think it does for the users? Are they willing to pay enough for the product to make bringing it to market profitable? Ultimately, entrepreneurship is a critical part of the growth engine that improves a society's standard of living. In this course, we look at how to facilitate this search process and hopefully maximize the chance of bringing a successful new product to market.","Students will learn to think more deeply about how markets operate, what creates value, and how to investigate an idea in an environment characterized by risk and the need to be profitable. In other words, they'll learn to think like an entrepreneur. They will gain an appreciation for entrepreneurship as just one part, albeit an important one, of the entire economy. They will hear first-hand from multiple entrepreneurs and learn about their personal experiences and lessons learned.","Evaluate an entrepreneurial ideaExplain the lean startup methodologyWrite a ""Jobs To Be Done"" specificationCreate a lean canvas model for a proposed new product/ventureRead basic economic literature and understand the concepts being addressed: supply/demand, how prices are set, etc.Create and read two of the most important financial statements: the P&L and Balance sheet",Basic economic principlesThe role of entrepreneurship in an economyJobs to be Done TheoryLean startup methodologyCrossing the Chasm and high-tech marketingBasic accountingThe importance of intellectual propertyMultiple guest speakers explain their entrepreneurial journey and key lessons they've learned,None,Jesse Thornburg,MSIT,In person expectation,Not specified,,,,,,
Applications of AI in Healthcare,04-801-T3,Africa,6,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-801-T3.html,"This course introduces the principles and practices underlying the application of AI in healthcare. Students will survey the opportunities and challenges of using AI to improve healthcare, particularly in Africa. Students will study the potential impact of AI on broad groups of users including patients, providers, and health-related industries via domains such as medical image analysis, electronic health records (EHR), and customized drugs. Topics include, but are not limited, to neural networks and deep learning models for multimodal analysis as well as the use of time-series data. Practical questions around privacy and inclusiveness, and technical challenges of integration with existing systems will also be presented. Students will be assessed on weekly readings and homework assignments.","The main objectives of this course are to:
Distinguish the main domains within healthcare and become familiar with the types of data and machine learning algorithms used thereinExplore clinical topics incl. risk classification, modeling of disease progression, and drug customizationExplore mathematical topics incl. graphical models, time-series analysis, causalityUnderstand the significance of related topics such as workflow design, algorithmic fairness","Upon successful completion of this course, students should be able to:
Start working with healthcare dataTranslate healthcare problems to machine learning problemsSelect appropriate learning algorithmsRecognize limits and opportunities in applying machine learning (ML) to healthcare",Introduction to clinical data and EHRMonitoring patientsSignal predictionML techniques commonly used in healthcareTime-varying and multi-trait dataRegulation and governance,"None. Open to all CMU-Africa students with a math and programming background in IT, engineering, or AI.",Ahmed Biyabani,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Introduction to Systems Software Engineering,04-800-I,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-I.html,"System software is software that provides a platform for other software. Examples include operating systems, language environments like a Python interpreter, game engines, and most of the servers that power the Internet.  A deep understanding of system software is of high value for students interested in careers in software development, cloud programming, embedded devices, or robotics.

In addition to its commercial importance, system software also provides an ideal vehicle to develop mastery of many key concepts in computer science, such as data structures, memory management, and parsing theory. As a result, this course provides an ideal foundation for further study of professional software development of all kinds.

The course will maintain a strong hands-on focus with roughly biweekly individual programming assignments. Student progress is assessed by performance on the assignments and classroom participation. The course will be taught using the C language, but no prior experience with C is needed.","Students will learn how to decompose a problem into its constituent parts and develop a ground-up software implementation with appropriate encapsulation. Students will also learn strategies for testing and debugging.

The course will introduce students to the C language, beginning with language basics and array manipulation, and moving to an understanding of pointers, data structures, and dynamically allocated memory.

Interspersed with these concepts will be lessons on common operating system concepts, including kernel and user space, filesystems, I/O redirection, shells and basic shell scripting, regular expressions, and simple lexical analysis. By the completion of the course, students will implement a simple command line shell for Linux.","Upon completing this course, students will be able to:
Decompose problems into a sequence of steps, implement those algorithms in C with appropriate encapsulation, and ensure the correctness of their implementation through the development of appropriate testingExplain key operating concepts, including kernel space and user space, users and permissions, processes and threads, and I/O redirectionDesign and implement an appropriate data representation for a given problem.Develop system programs in C, including mastery of concepts such as dynamically allocated data structures, lexing and parsing, and fork/exec and input redirectionExplain in detail how an operating system shell (or any other interpreter) is implemented","Intro to C programmingApproaches to problem decompositionHow to find an appropriate level of abstraction in implementing software and how to work at different levels of abstractionData structures: structs, arrays, linked listsObject encapsulationEffective testing and debuggingOverview of operating systemsI/O redirection and the “file” abstractionUse of dynamic memory allocationLexical analysis and parsing",None,Howdy Pierce,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
M.S. Graduate Project,18-980,Pittsburgh,Variable,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/18-980.html,"Master's level research and it requires ECE approval.
See theoriginal course descriptionfor the most recent information.",,,,,James Bain,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Data Structures and Algorithms for Engineers,04-630,Africa,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-630.html,"The primary objective of the course is to provide engineers without formal training in computer science, a solid background in the key principles of computer science, in general, and of the algorithms and data structures, in particular. The key purpose of this course is to complement the experience that engineers may already have in writing software with formal computer science underpinnings, making those engineers more capable in developing software intensive systems. There are no prerequisites for taking this course.","The course begins by considering the main phases of the software development lifecycle: requirements elicitation, computational modeling, system specification, software design, implementation, and software quality assurance, including various forms of testing, verification, and validation. Then, building on the concept of abstract data types, the course provides an in in-depth treatment of the key elements of algorithms and data-structures, beginning with the fundamentals of searching, sorting, lists, stacks, and queues, but quickly progressing to more advanced topics, including trees, graphs, and algorithmic strategies. It also covers the analysis of the performance and tractability of algorithms, finishing with automata theory and computability theory. A key focus of the course is on effective implementation and good design principles.","After completing this course, students should be able to:
Recognize and analyze critical computational problems, generate alternative solutions to problems, and assess their relative merits.Understand, analyze, and characterize those factors that influence algorithmic computational performance and memory consumption.Design, implement, and document appropriate, effective, and efficient data structures & algorithms for a variety of real-world problems.Understand detailed software structures and their underlying strengths and weaknesses.Perform detailed, code-level design and document the design in an understandable way.","Introduction & The Software Development Life Cycle.Goals, outcomes, and syllabus. Assignments, labs, and exercises. Software development tools for assignments. Levels of abstraction. The software development life cycle. Yourdon Structured Analysis - functional, data, and behavioural models (hierarchical decomposition trees, architecture diagrams, data flow diagrams DFD, data dictionaries, entity relationship ER diagrams, state transition diagrams). Software process models: waterfall, evolutionary, formal transformation, re-use, hybrid, spiral.
Formalisms for Representing Algorithms.Definition of an algorithm. Modelling software. Relational modelling. State modelling. Practical representations. Pseudo code. Flow charts. Finite state machines. UML. Predicate logic. Analysis.
Analysis of Complexity.Performance of algorithms, time and space tradeoff, worst case and average case performance. Big O notation. Recurrence relationships. Analysis of complexity of iterative and recursive algorithms. Recursive vs. iterative algorithms: runtime memory implications. Complexity Theory: tractable vs intractable algorithmic complexity. Example intractable problems: travelling salesman problem, Hamiltonian circuit, 3-colour problem, SAT, cliques. Determinism and non-determinism. P, NP, and NP-Complete classes of algorithm.Searching and Sorting Algorithms. Linear and binary search (iterative and recursive). In-place sorts: bubblesort (efficient and inefficient), selection sort, insertion sort. Not-in-place sorts: Quicksort, merge sort. Complexity analysis. Characteristics of a good sort. Speed, consistency, keys, memory usage, length & code complexity, stability. Other sorts ordered by complexity.
Abstract Data Types (ADT).Abstract Data Types (ADT). Information hiding. Types and typing. Design Goals. Design practices.
Containers, Dictionaries, and Lists.Container and dictionaries: mechanisms for accessing data in a list. List ADT. Implementation with arrays. List ADT. Implementation with linked lists. Doubly linked lists and circular lists. Performance considerations.
Stacks.Stack (LIFO) ADT. Implementation using List ADT (array and linked-list). Comparison of order of complexity. Stack applications, including token matching, evaluation of postfix expressions, and conversion of infix expressions to postfix.
Queues.Queue (FIFO ADT). Implementation using List ADT (array and linked-list). Comparison of order of complexity. Dedicated ADT. Circular queues. Queue applications.
Trees.Concepts and terminology: level, height, external and internal nodes, skinny, fat, complete, left-complete, perfect, multi-way, d-ary. Types of tree: binary, binary search, B-tree, 2-3 tree, AVL, Red-Black. Binary trees and binary search trees. Tree traversals: inorder, preorder, postorder. Height-balanced trees: AVL Trees, RR, RL, LR, LL rotations. Height-balanced trees: Red-Black Trees, single promotion, zig-zag promotion, recolouring and restructuring. Tree applications. Fixed- length codes & variable length codes. Optimal code trees. Huffman's algorithm.
Heaps.Priority queues. Heap basics. Types of heap: min heaps and max heap. Heap characteristics. Implementation of heap. Heap operations: delete max/min, down heap, up heap, merge, construct, heapify. Complexity of operations. Heap sort.
Graphs.Types of graphs: directed, undirected, weighted, unweighted, cyclic, acyclic, directed acyclic, simple, non-simple, implicit, explicit, embedded, topological. Adjacency matrix representation. Adjacency list representation. Graph traversal: breadth-first search and depth- first search; implementation and application. Topological sort. Spanning trees and minimum spanning trees, Kruskal's algorithm, Prim's algorithm. Dijkstra's shortest path algorithm. Floyd- Warshall's all-pairs algorithm.
Complex Networks.Euler's theorem: the Bridges of Königsberg. Networks vs. graphs. Degree, average degree, and degree distribution. Bipartite networks. Path length, BFS, Connectivity, Components. Clustering coefficient. Random graph model. Small world phenomena. Scale free networks. Communities. Fundamental Hypothesis. Connectedness and Density Hypothesis. Strong and weak communities. Graph partitioning. Community detection. Hierarchical clustering. Girvan- Newman Algorithm. Modularity. Random Hypothesis. Maximum Modularity Hypothesis. Greedy algorithm for community detection by maximizing modularity. Overlapping communities. Clique percolation algorithm and CFinder.
Algorithmic Strategies.Classes of algorithms. Brute force. Divide and conquer. Greedy algorithms. Dynamic programming. Combinatorial search. Backtracking. Pruning. Branch and bound.
Hashing.Dictionaries. Hashing. Hash functions. Collision resolution. Complexity. Applications.
Analysis of Correctness.Types of software defects. Code module design. Syntactic, semantic, logical defects. (Semi-)formal verification: partial vs. total correctness. Invariant assertion method. Simple proof strategies: by contradiction, counterexample, induction. Dynamic testing: unit tests, test harness, stubs, drivers, integration testing, regression testing. Static tests: reviews, walkthroughs, inspections, reviewing algorithms and software. Pair programming. Verification and validation strategies.",[],David Vernon,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Artificial Intelligence System Design,04-652,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-652.html,"Artificial Intelligence can be defined as the study of the design of rational agents where an agent is something that acts, and rational means that the agent acts to achieve the best-expected outcome. AI has a long history, extending at least as far back as the 1950s. Machine learning can be considered as a sub-field of AI focused on how a rational agent can adapt to new circumstances as well as detect and extrapolate patterns. The implementation of an AI system typically relies on many different hardware and software components.
This course focuses on two aspects of AI system design:
Performing ML inferences in resource-constrained edge devices such as one might find in an IoT network.ML model performance analysis and maintenance in the cloud. Students will study Edge ML in the context of Raspberry Pi's connected to Arduinos, and use TensorFlow to design models. They will use various AWS and web technologies to learn how to design distributed and cloud-based systems for analyzing and maintaining ML models. This course provides a foundation students can use to design and implement complex AI systems that use both edge and cloud components.","Students will learn how the edge components of an IoT-like network can be connected to edge gateways, and how the data aggregated there can be further routed to the cloud. They will study important edge system design tradeoffs, such as resource consumption (e.g., memory and power) vs. ML inference speed. They will learn the importance of matching ML models to edge device constraints. Students will also learn how data can be collected in devices outside the cloud and then routed to the cloud for further analysis. They will learn the importance of using designs such as REST APIs. Finally, they will learn the fundamentals of how to assess model performance automatically in the cloud and detect when model updates should be triggered.","After completing this course, students will be able to do the following:
Configure a Raspberry Pi as an edge gatewayUse the Raspberry Pi as a development platform for designing simple TensorFlow ML modelsDevelop programs incorporating TinyML models for Arduino's on the Raspberry Pi, and deploy themCommunicate data bi-directionally between the Raspberry Pi and Arduino in real-time, and assess the real-time performance of edge ML models running on the Arduino, including memory utilization and speed of executionUnderstand principles of REST API design and complete client and server-side implementations for accessing ML models using common SDKs such as Flask for Python applications.Understand principles of cloud-based identity and access management such as roles, policies, users, groups, and API key credentialsStream data to a cloud database, such as DynamoDB (AWS), where it can be analyzed and queriedAnalyze data stored in the cloud to assess model performanceUpdate ML models","Introduction to distributed ML systems such as IoT systems using edge MLConfiguring Raspberry Pi gateway devices running LinuxIntroduction to ML with an emphasis on neural networks and CNNsWriting python code to execute on RPi's, and C code for ArduinosUsing TensorFlow to design EdgeML modelsAssessing the performance of TinyML models w.r.t memory and execution speedReview of model quality metrics including accuracy, precision, and recall; understand how data distributions can lead to misleading quality metrics (e.g., under conditions of class imbalance)Overview of web platform architectures: TCP/IP, DNS, URI/URL/URNsPrinciples of web resources behind the REST API frameworkIdentity and Access Management (IAM) in Amazon web services as an example of a common IAM framework.SDKs for streaming data to AWS (e.g., DynamoDB) and monitoring using serverless (Lambda) functionsDetecting model discrepancies by monitoring quality (e.g., class confidence) and retraining when needed",None,Mike PerkinsandCharles Wiecha,MS EAI,In person expectation,Not specified,,,,,,
Recommender Systems,04-800-B,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-B.html,"Information overload is a characteristic of our society today. This has made decision-making more complicated than ever before. For example, choosing which restaurant to go to for the day’s meal is further complicated by a variety of dishes on the same menu. In the entertainment industry, one has to choose whether to read a book or watch a movie and, if so, which one. Recommender systems have come in handy as far as overcoming such challenges is concerned. Recommender systems are now largely used, particularly in eCommerce websites, for easing the information search and discovery processes and increasing customer fidelity and conversion rates. They attempt to guide people into making decisions based on their preferences and personalities and by mimicking the choices of people similar to them.
Recommendation systems are part of machine learning or artificial intelligence (AI) algorithms. Students should gain basic knowledge about the field of web recommendation systems and other main recommender systems methods and tools as well as their theoretical foundations. The students will familiarize themselves with the concept of recommender systems and the scientific underpinnings of the latter in different domains.
Students will also gain the necessary tools and techniques to analyze visual and statistical data, build models, and present findings to support data-driven decisions as data science engineers. Students will be involved in hands-on projects such as choosing a topic to work on and getting corresponding data and sources. For example, students can choose from recommender systems in transformer-banking products, healthcare, restaurants, fashion, books, movies, music, and more. For the final project, students will work on RecSys challenges organized by members of the ACM Conference on Recommender Systems. This experience will also give students the skills required for positions in academia and research institutes as well as roles involving network analysis in entrepreneurship and commercial research.","Starting from basic information retrieval concepts, we will investigate basic techniques for information filtering in recommender systems. We will provide the student with a rich and comprehensive catalog of information search tools that can be exploited in the design and implementation of a specific website such as eCommerce or eGovernment applications for travel, health, or tourism.","Upon completing this course, students will be able to:
Use the necessary tools and techniques to analyze visual and statistical data, build models, and present findings to support data-driven decisionsDescribe the concepts of Recommender Systems and explain the challenges involvedRecommend appropriate techniques when faced with a recommendation task, as they will have acquired important data science engineering skillsObtain hands-on experience implementing existing methods and evaluating them over real datasets","Module 1: Introduction and Basic Concept in RS
Problem domainPurpose and success criteriaRatings vs. Implicit feedback
Module 2: Paradigms of Recommender Systems
Collaborative FilteringContent-based FilteringAdvanced Topics in Collaborative FilteringKnowledge-Based Recommendations
Module 3: Social-based Recommender Systems
The basic concept of Social Network AnalysisRecommender Systems with social regularizationTrust-aware recommender systemsOnline Consumer Decision Making
Module 4: Group Recommender Systems
Introduction to group recommender systemsRecommending sequencesModeling satisfactionIncorporating group attributesExplaining group recommendationsEvaluating group recommender systems
Module 5: Other Approaches
Constraint-based RecommendersHybrid recommendation approaches
Module 6: Hands-on Sessions (Project)
Designing Real-World Recommender SystemsBuilding a Recommender System
Module 7: Deep Learning for Recommender Systems
The basic concept of Deep LearningThe deep learning era of RecSysMatrix factorization as embedding learningLearning item embeddingsWord2Vec, Paragraph2vec, doc2vec and Prod2Vec modelsDeep collaborative filtering and CF with Neural NetworksAutoencoders for recommendation",,Carine Pierrette Mukamakuza,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
